page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
22,110,Tedi,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in September 2022,10.0,Exceptional,The bestlah,Hotel the best ditasik,"April 02, 2023"
23,111,Fajri,Indonesia,Group,Superior Room Twin,Stayed 1 night in February 2023,10.0,Exceptional,santika tasikmalaya,"top notch hospitality, breakfast was great, pool ŵas child friendly...exotic get away from routine and bussiness","February 20, 2023"
23,112,Suzaidi,Singapore,Couple,Superior Room Queen,Stayed 1 night in October 2022,7.2,Very good,Hotel Santika Tasikmalaya,Not bad. It's what you get for what you paid. No complaints.,"January 20, 2023"
23,113,octavia,Indonesia,Family with young children,Superior Room Twin,Stayed 1 night in December 2022,10.0,Exceptional,Exceptional,"It's really recommended place to stay, room is spacious. Friendly and helpful staff.","January 17, 2023"
23,114,Teguh,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in January 2023,6.0,,AC didn’t work,"The AC didn’t work in all room. I changed 7-8 rooms and AC can only go as low as 26 C. They offer me solution by putting portable chiller in the room which can help to cool down the room a bit. One of the room that I enter smell like a smoking room even though the staff insist it is non smoking room, and another room has strong odor from sewage. The room interior looks like just being renovated, but the owner forget to renovate and maintain the AC system and drainage. What a pity. Better find another hotel in order to void this drama again.","January 15, 2023"
23,115,victor,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in October 2022,10.0,Exceptional,Exceptional,"this is a four star hotel, not a three star","December 03, 2022"
24,116,Andhy,Indonesia,Family with young children,Deluxe Room Queen,Stayed 1 night in September 2022,10.0,Exceptional,Pilihan tepat,Good,"November 25, 2022"
24,117,Reza,Indonesia,Business traveler,Superior Room Twin,Stayed 2 nights in June 2022,10.0,Exceptional,Best,Best,"November 18, 2022"
24,118,Wawan,Indonesia,Solo traveler,Superior Room Twin,Stayed 1 night in September 2022,8.4,Excellent,Nice Hotel,Nice Hotel but little bit expensive,"November 08, 2022"
24,119,Wawan,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in September 2022,9.2,Exceptional,Nice,Nice but little bit expensive,"November 08, 2022"
24,120,Dwi,Indonesia,Group,Superior Room Twin,Stayed 1 night in September 2022,9.2,Exceptional,Best hotel in Tasikmalaya,"Clean, good food","September 04, 2022"
25,121,Fahmi,Indonesia,Business traveler,Superior Room Twin,Stayed 1 night in August 2022,10.0,Exceptional,Good,Good,"August 25, 2022"
25,122,Sukana,Indonesia,Couple,Superior Room Queen,Stayed 1 night in May 2022,10.0,Exceptional,Exceptional,yes,"June 20, 2022"
25,123,Kuntje,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in May 2022,10.0,Exceptional,HOTEL SANTIKA TASIKMALAYA,No Comment sdh jadi langganan kalau ke Tasik yaa nginep nya di Hotel Santika All Services its very good,"June 02, 2022"
25,124,Ilhamdaniah,Indonesia,Family with teens,Superior Room Twin,Stayed 1 night in May 2022,10.0,Exceptional,Very pleasant stay at the hotel,"Strategic location, big size room, excellent service, superb!","May 20, 2022"
25,125,Ardian,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2022,8.4,Excellent,No Complain.. ! 😆,"Nice Staff, Accomodation, but the breakfast has not too much diversity. only indonesian cuisine, nasi goreng and etc. can not scoop your own nasi. *MaybeBecauseOfPandemi. The Complain i had is the AC/Aircon Has Centralized system. so even when i rise the temp. up, it still cold, and then i try to turn off the centralized ac it still chill, and cold for me. please fix this room problems Room 712 Santika Hotels. Thank You SANTIKA!! IT'S BEEN A JOY TO STAY THERE..!","May 08, 2022"
26,126,Mediana,Indonesia,Family with young children,Deluxe Room Queen,Stayed 1 night in December 2021,9.2,Exceptional,Definitely Best Hotel in Tasikmalaya,"Best hotel in Tasikmalaya that never fails me and family. My second time here, this time I went there with family and 2 infants. Lots of choices for breakfast, its very delicious too! Good food for my babbies, and they were enjoy to stay here. Excellent location in the middle of city, you can find some shops near the hotel. We use becak to go around near the town.","May 07, 2022"
26,127,Desi,Indonesia,Business traveler,Superior Room Queen,Stayed 1 night in March 2022,9.2,Exceptional,Wonderful Experience,I feel so comfy to stay here cause all of the staff really kind and warm hearted to us as a couple and professionally help my business travel this time.,"May 07, 2022"
