page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
38,199,Luna,,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Mei 2021,"9,6",Spektakuler,Spektakuler,Puas banget nginep disini. Pelayanan nya ramah. Staff nya baik baik. Hanya saja AC nya kurang dingin.,
38,200,Andyko,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 1 malam pada Mei 2021,"7,2",Sangat baik,Sangat baik,"Breakfast rasa lunch time, optional makan ringannya sedikit. Bubur ayam, topping hanya kecap dan bawang goreng. Kolam renang asin, bikin mata perih untuk anak2",
39,201,syahrul,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Februari 2021,"10,0",Spektakuler,Hotel Terbaik di Bekasi,"Tempatnya aman dan nyaman untuk berlibur, dekat dengan tempat belanja dan restoran.",
39,202,tommy,Indonesia,Wisatawan bisnis,Kamar Superior Twin,Menginap 1 malam pada September 2019,"10,0",Spektakuler,nyaman,nyaman,
39,203,Ita,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Februari 2021,"10,0",Spektakuler,Menginap ketiga kali,"Sarapan enk dan bervariasi, kamar bersih dan nyaman. Hanya superior kamar agak kecil.. sya biasa menginap di deluxe",
39,204,Jihan,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Februari 2021,"8,0",Luar biasa,"Fasilitas kolam renang, air hangat dan AC","Kolam renang hanya dibuka sabtu dan minggu saat pandemi, padahal weekdays pun hotel sepi, AC lama dinginnya, restaurant AC panas benar benar gerah, air hangat pun ga berfungsi, pelayanan staff oke, ramah dan cepat",
39,205,tri,Indonesia,Keluarga dengan anak kecil,Kamar Superior,Menginap 1 malam pada Oktober 2020,"6,0",,Protokol Kesehatan Bagus,Hotel yang lumayan dengan harganya dan protokol kesehatan yang bagus,
40,206,Maulana,Indonesia,Wisatawan bisnis,Kamar Superior Twin,Menginap 1 malam pada Agustus 2020,"8,0",Luar biasa,Lokasi strategis,"Lokasi yang sangat strategis, berada diatas mall membuat mudah mencari hiburan atau sekedar cemilan. Sayangnya kecepatan wifi sangat lambat dibawah 1 mbps upload maupun download. Padahal tujuan saya stay karena ingin fokus bekerja . Tetapi terobati karena keramahan staff. Oh iya di agoda tertulis include bathup tapi ternyata tidak ada di room tsb.",
40,207,Ardi,Indonesia,Keluarga dengan anak kecil,,Menginap 1 malam pada Februari 2020,"8,8",Luar biasa,Posisi Strategis,"Posisi Strategis dengan Pintu Tol Bekasi barat, ada Mall sehingga jajan atau tempat bermain anak tidak jauh. Untuk breakfast nya lumayan lah",
40,208,Deva,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Februari 2020,"4,8",,Cukup,"Lumayan kecewa sama pelayanan receptionist, dan hotline call nya Hotel Santika Bekasi, pertama AC kamarnya panas banget gak kerasa, dan kebetulan saya tinggal sampai malam. sudah laporan dan katanya akan segera diperbaiki nyatanya saya kembali pun AC nya masih gak kerasa atau panas. dengan harga segitu saya kecewa karena kualitas pendingin ruangannya mengecewakan. nilai plus di room service mas2 yg nganter dan pelayan restaurant pas breakfast. tapi, saya betul2 kecewa sama kamar dan pendingin ruangannya.",
