ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review
REV-000115,Agoda,Hotel Santika Bandung,2024-08-12,"I like this hotel, besides being strategic, everything is very private. Just one suggestion, the elevator should require an access card."
REV-000116,Agoda,Hotel Santika Bandung,2024-08-12,Great hotel
REV-000117,Agoda,Hotel Santika Bandung,2024-08-11,"The hotel with wooden room decor feels like it's from the 90s, it needs a total renovation, the old shower faucet needs to be replaced because it does not function well, cleanliness and staff are good, breakfast is monotonous, it would be better to change the menu every day. Since staying for more than one night, it feels like the same menu, decreasing the appetite. The parking is spacious."
REV-000118,Agoda,Hotel Santika Bandung,2024-08-06,"Good location, plenty of food options during breakfast."
REV-000119,Agoda,Hotel Santika Bandung,2024-08-02,A bit tired but perfectly adequate. The hotel has an authentic Indonesian vibe which I enjoyed. Room is large but slightly noisy. Breakfast was fantastic
REV-000120,Agoda,Hotel Santika Bandung,2024-07-26,Location is the best. Close to many factory outlet and restaurant.
REV-000121,Agoda,Hotel Santika Bandung,2024-07-22,"Kebersihan kamar oke, staf sangat kurang mau pakai fasilitas hotel gk ada pegawainya, sarapan kurang, kopi dll dlm kamar gk jelas merek apa, interior hotel kosong kurang menarik, karena ada acara semua hotel full kebagian ini dgn harga kamar harusnya jauh lebih murah"
REV-000122,Agoda,Hotel Santika Bandung,2024-07-09,Everything looks old. The only new things are the passanger Lifts.
REV-000123,Agoda,Hotel Santika Bandung,2024-07-09,"Cukup sudah,"
REV-000124,Agoda,Hotel Santika Bandung,2024-07-05,"The location is very strategic, close to the shopping center, Dago, and also to the distro. The service is very friendly, and we have returned to stay here twice. Unfortunately, the hotel wifi is not strong and stable in the room, so my husband has to work near the lobby."
REV-000125,Agoda,Hotel Santika Bandung,2024-07-02,"Need revamp here and there. for example, electric cords near bed are needed. Hidden light button behind the bed. But for the price, we get the best value, and the staffs are excellent."
REV-000126,Agoda,Hotel Santika Bandung,2024-07-01,"My most memorable facts about this hotel is i can go shopping to 3 different shopping malls without driving. All of them are between walking distance. The other thing is they only have one elevator for such a wide floor, which will take quite a walk if you get the farthest room. Looks like they have another elevator on the other but it was not available or under renovation during my stay. Breakfast is good and nice. If you need something else that is not available, you can go across the street for more local culinary."
REV-000127,Agoda,Hotel Santika Bandung,2024-06-27,Nice
