page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
136,2,MISALNYA,12 November 2022,Perjalanan Sendirian,"4,2","Hotel tua, tapi ga membuat jenuh di kamar. Good experience and good service. Saya yg tinggi 190 cm masuk kamar berasa kamarnya pendek, tapi tidak masalah.",Ulasan terverifikasi dari tiket.com
136,5,TM,8 November 2022,Trip Pasangan,"4,0",hotel yang tenang,Ulasan terverifikasi dari tiket.com
138,1,Habib Hamidy,4 November 2022,,"5,0",Puas Ada Fasilitas Free Car Wash,Ulasan terverifikasi dari tiket.com
138,3,MT,2 November 2022,Trip Keluarga,"5,0","Good, terus pertahankan",Ulasan terverifikasi dari tiket.com
142,2,sofyan Ar dan Alman rezkiawan,30 September 2022,,"4,0",Bagus dan nyaman,Ulasan terverifikasi dari tiket.com
142,3,Wandi Hadju dan syahrir,30 September 2022,,"5,0","Bagus ,nyaman,bersih",Ulasan terverifikasi dari tiket.com
144,2,Industri Makanan Pt Alpen,24 September 2022,,"5,0",Hotelnya agak tua,Ulasan terverifikasi dari tiket.com
144,3,Cucu Ruhidawati,23 September 2022,Perjalanan Bisnis,"5,0","Selalu puas nginep di sini. Hotel lama yang bener-bener dijaga kebersihan dan fasilitas. Kalau ada masalah tentang fasilitas kamar langsung ditangani. Ada plus nginep di sini, tiap pagi pasti mobil kita bersih karena ada abang2 yang selalu lap bersih mobil kita, cukup kasih tips seiklasnya aja 👌🏻 Sarapan juga enak dan lumayan variatif. Pertahankan dan tingkatkan terus pelayanannya.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com
145,3,Nabiel Gildas Halvawy,19 September 2022,,"5,0",Wow,Ulasan terverifikasi dari tiket.com
146,5,ADALAH,18 September 2022,Perjalanan Sendirian,"4,0","Nyaman kamarnya, bersih, cuman kurang pada saat breakfast, makanan yg sdh habis dibiarin kosong lama ga langsung direfill, minta telur rebus 4, yg 3 busuk.",Ulasan terverifikasi dari tiket.com
149,1,Dinar Permonowati,6 September 2022,,"4,6","Overall ok namun pada saat saya menginap, ada tenant yang tidak menjaga attitude",Ulasan terverifikasi dari tiket.com
162,5,YA,27 April 2022,Lainnya,"5,0","selain makanan, yg lainnya oke...",Ulasan terverifikasi dari tiket.com
163,2,LM,25 April 2022,Trip Keluarga,"4,0","kamar nyaman dan bersih ... breakfast kurang variasi dan cuma sedikit menunya juga tdk bisa ambil sendiri jadi hrs nunggu diambilkan , mungkin krn msh pandemi walaupun di hotel2 lain utk breakfast sdh bisa ambil sendiriLihat lebih sedikit",Ulasan terverifikasi dari tiket.com
163,5,Destiana Pratama Cindikiawati,8 April 2022,Trip Keluarga,"4,0","kamar bersih cuma, saat mau BAK waktu renang di kamar mandi tempat bilas dkt kolam renang, kamar mandinya serem trs kotor",Ulasan terverifikasi dari tiket.com
164,3,RY,1 April 2022,,"3,0",🙏🏻,Ulasan terverifikasi dari tiket.com
170,3,HI,11 Feb 2022,Perjalanan Bisnis,"3,4",Lubang pembuangan air kamar Mandi surutnya lama. Yang lainnya Excellent,Verified review from tiket.com
170,4,Irfan Arif Husen,11 Feb 2022,Trip Keluarga,"5,0",mantab luar biasa menyenangkan,Verified review from tiket.com
170,5,Andik Eka,9 Feb 2022,Perjalanan Bisnis,"5,0","Hotel bersih, sarapan enak.",Verified review from tiket.com
171,1,HN,7 Feb 2022,Perjalanan Bisnis,"5,0",hotel yg nyaman dan rapih. terima kasih,Verified review from tiket.com
171,3,Nicolas Agung,3 Feb 2022,Perjalanan Bisnis,"5,0",good hotel fasilitas lengkap hanya saja jenis makanan pas breakfast ga terlalu variatif,Verified review from tiket.com
171,4,setia budi siswanto,2 Feb 2022,Trip Keluarga,"4,0","tempat tenang tidak bising , harga sangat bagus untuk kelas hotel ini .meski cat di dalam kamar sdh agak pudar mungkin karena pandemi , over all masih enak , kami betah selalu nginep di santika cirebon . kolam renang juga sangat bersih , parkiran juga luas . sangat nyaman dan aman , ke tempat kulineran juga sangat dekat . nasi jamblang , empal gentong semua dekat dari hotel ini . semoga tetap dijaga dan di rawat . love santikaLihat lebih sedikit",Verified review from tiket.com
171,5,Laurentius Agus Susanto,2 Feb 2022,Trip Keluarga,"3,0","kamar mandi kurang bersih, keset kotor, variasi breakfast kurang",Verified review from tiket.com
172,1,Tonan Jihano Sinaga,2 Feb 2022,Trip bareng Teman,"3,0","Small TV, old building",Verified review from tiket.com
172,3,HS,27 Jan 2022,Perjalanan Bisnis,"4,0",kamar luas dan bersih,Verified review from tiket.com
172,5,BS,26 Jan 2022,Perjalanan Bisnis,"4,0",Hotel lama tapi masih terawat dengan baik,Verified review from tiket.com
173,1,LS,26 Jan 2022,Trip bareng Teman,"4,0",pkkny seu pling suka pelayanan ramah🥰🥰🙏🙏🙏🙏,Verified review from tiket.com
173,2,NH,17 Jan 2022,Trip Keluarga,"1,0","uda pesen di app untuk minta double bed, sampe kamar ternyata twin bed yang digabung. check in jam 2 dapat kamar lantai 2 paling pojok dan kunci hampir patah. ternyata kejadian kan patah beneran. disuruh ke kamar sama resepsionisnya dulu SENDIRIAN GA DIKASI KUNCI CADANGAN dan tanpa ada kejelasan kamar kapan dibuka!!!! parah banget. sampe dianterin spv nya ternyata sampe depan kamar jg blm bs langsung dibuka. nunggu 20 menit sambil gendong anak kecil akhirnya teknisinya dateng. akhirnya dibenerin se handle nya sampe jam 5 sore. jadi sampe jam 5 sore ga bs ngapa2in magrib mau tidur anak nangis trus.. keluar kamar anteng masuk kamar nangis lagi akhirnya minta tuker kamar. upgrade bayar selisih jg gpp asal ga dpt kamar pojok. ternyata adanya kamar pojok aja. akhirnya checkout jam 18.30 MAKASIH SANTIKA CIREBON. WORST EXPERIENCE IVE EVER HADLihat lebih sedikit",Verified review from tiket.com
173,3,NM,14 Jan 2022,Lainnya,"4,0",Happy next nginep lagi ya,Verified review from tiket.com
173,4,AD,9 Jan 2022,Trip Keluarga,"3,6","ok lah hotelnya, bersih, makanannya enak",Verified review from tiket.com
173,5,Prayogie Mapaganti,9 Jan 2022,Trip Pasangan,"5,0","Pelayanan bagus, makanan enak, namun variasi makanan untuk sarapan perlu ditingkatkan lagi Pesan additional Romantic dineer sangat memuaskan, makanan enak dan petugas ramah Lokasi hotel bersih meskipun bangunan agak jadulLihat lebih sedikit",Verified review from tiket.com
174,1,MY,7 Jan 2022,Trip Keluarga,"4,0",enak di buat istirahat...anak2 juga suka. sarapan enak...kolam renang enak...pelayanan ramah,Verified review from tiket.com
